[Running] python -u "c:\Users\lukas\OneDrive\Documents\MAIN AI PROJECT\Connect4-Python\new\main.py"
pygame 2.5.2 (SDL 2.28.3, Python 3.12.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
After 202000 games - Mr.Q: 78.6%, Random: 20.6%, Draws: 0.8% , epsilon 0.15443639750442173
After 203000 games - Mr.Q: 79.8%, Random: 19.6%, Draws: 0.6% , epsilon 0.15324551999402258
After 204000 games - Mr.Q: 78.4%, Random: 21.0%, Draws: 0.6% , epsilon 0.15207249337178877
After 205000 games - Mr.Q: 78.1%, Random: 21.0%, Draws: 0.9% , epsilon 0.15089229940119073
After 206000 games - Mr.Q: 77.7%, Random: 21.5%, Draws: 0.8% , epsilon 0.1497178210493148
After 207000 games - Mr.Q: 78.6%, Random: 19.9%, Draws: 1.5% , epsilon 0.14857878044305567
After 208000 games - Mr.Q: 77.3%, Random: 21.7%, Draws: 1.0% , epsilon 0.1474545985282323
After 209000 games - Mr.Q: 78.9%, Random: 20.7%, Draws: 0.4% , epsilon 0.14630263486648443
After 210000 games - Mr.Q: 78.0%, Random: 21.1%, Draws: 0.9% , epsilon 0.1451965459802582
After 211000 games - Mr.Q: 81.1%, Random: 17.9%, Draws: 1.0% , epsilon 0.14409363196901065
After 212000 games - Mr.Q: 79.6%, Random: 19.1%, Draws: 1.3% , epsilon 0.14297922019769235
After 213000 games - Mr.Q: 78.6%, Random: 20.5%, Draws: 0.9% , epsilon 0.14190237236814682
After 214000 games - Mr.Q: 80.1%, Random: 19.0%, Draws: 0.9% , epsilon 0.14085476145701498
After 215000 games - Mr.Q: 78.8%, Random: 20.8%, Draws: 0.4% , epsilon 0.13982215522300354
After 216000 games - Mr.Q: 79.1%, Random: 20.2%, Draws: 0.7% , epsilon 0.13878407270260618
After 217000 games - Mr.Q: 80.2%, Random: 19.2%, Draws: 0.6% , epsilon 0.137753559471199
After 218000 games - Mr.Q: 78.6%, Random: 20.3%, Draws: 1.1% , epsilon 0.13670731914651493
After 219000 games - Mr.Q: 77.2%, Random: 21.9%, Draws: 0.9% , epsilon 0.13568218557287998
After 220000 games - Mr.Q: 79.3%, Random: 20.3%, Draws: 0.4% , epsilon 0.13464561817145848
After 221000 games - Mr.Q: 80.1%, Random: 19.4%, Draws: 0.5% , epsilon 0.13363313844465927
After 222000 games - Mr.Q: 79.8%, Random: 19.1%, Draws: 1.1% , epsilon 0.13265214739904183
