
After 162000 games - Mr.Q: 42.6%, Random: 57.4%, Draws: 0.0% , epsilon 0.3813840211292991
After 163000 games - Mr.Q: 45.4%, Random: 54.6%, Draws: 0.0% , epsilon 0.3789824105402486
After 164000 games - Mr.Q: 43.8%, Random: 56.2%, Draws: 0.0% , epsilon 0.3765639138069901
After 165000 games - Mr.Q: 43.2%, Random: 56.8%, Draws: 0.0% , epsilon 0.3741735725328871
After 166000 games - Mr.Q: 45.2%, Random: 54.8%, Draws: 0.0% , epsilon 0.37183335530658834
After 167000 games - Mr.Q: 44.8%, Random: 55.2%, Draws: 0.0% , epsilon 0.3694796931097616
After 168000 games - Mr.Q: 42.7%, Random: 57.3%, Draws: 0.0% , epsilon 0.36715341233287063
After 169000 games - Mr.Q: 45.9%, Random: 54.1%, Draws: 0.0% , epsilon 0.36480675490330305
After 170000 games - Mr.Q: 45.1%, Random: 54.9%, Draws: 0.0% , epsilon 0.3625515864646289
After 171000 games - Mr.Q: 45.2%, Random: 54.8%, Draws: 0.0% , epsilon 0.36028621906612573
After 172000 games - Mr.Q: 47.0%, Random: 53.0%, Draws: 0.0% , epsilon 0.3580124510834951
After 173000 games - Mr.Q: 45.9%, Random: 54.1%, Draws: 0.0% , epsilon 0.35576584020716256
After 174000 games - Mr.Q: 44.6%, Random: 55.4%, Draws: 0.0% , epsilon 0.3535506508994529
After 175000 games - Mr.Q: 46.7%, Random: 53.3%, Draws: 0.0% , epsilon 0.35130006907363653
After 176000 games - Mr.Q: 45.7%, Random: 54.3%, Draws: 0.0% , epsilon 0.3490763802073153
After 177000 games - Mr.Q: 46.8%, Random: 53.2%, Draws: 0.0% , epsilon 0.3469049244967867
After 178000 games - Mr.Q: 46.1%, Random: 53.9%, Draws: 0.0% , epsilon 0.34473904739554184
After 179000 games - Mr.Q: 47.7%, Random: 52.3%, Draws: 0.0% , epsilon 0.342627463062032
After 180000 games - Mr.Q: 49.8%, Random: 50.2%, Draws: 0.0% , epsilon 0.34051961837737865
After 181000 games - Mr.Q: 52.7%, Random: 47.3%, Draws: 0.0% , epsilon 0.3384379399853788
After 182000 games - Mr.Q: 48.9%, Random: 51.1%, Draws: 0.0% , epsilon 0.3363121458104149
After 183000 games - Mr.Q: 46.4%, Random: 53.6%, Draws: 0.0% , epsilon 0.3342037145824369
After 184000 games - Mr.Q: 51.3%, Random: 48.7%, Draws: 0.0% , epsilon 0.33217061180446766
After 185000 games - Mr.Q: 50.2%, Random: 49.8%, Draws: 0.0% , epsilon 0.3301063003225549
After 186000 games - Mr.Q: 50.7%, Random: 49.3%, Draws: 0.0% , epsilon 0.32805908247810645
After 187000 games - Mr.Q: 49.1%, Random: 50.9%, Draws: 0.0% , epsilon 0.32599782791839704
After 188000 games - Mr.Q: 52.0%, Random: 48.0%, Draws: 0.0% , epsilon 0.3240081647940113
After 189000 games - Mr.Q: 50.6%, Random: 49.4%, Draws: 0.0% , epsilon 0.3219250364004789
After 190000 games - Mr.Q: 49.6%, Random: 50.4%, Draws: 0.0% , epsilon 0.3198853687795898
After 191000 games - Mr.Q: 52.8%, Random: 47.2%, Draws: 0.0% , epsilon 0.317905988666944
After 192000 games - Mr.Q: 51.4%, Random: 48.6%, Draws: 0.0% , epsilon 0.3159088437411455
After 193000 games - Mr.Q: 51.0%, Random: 49.0%, Draws: 0.0% , epsilon 0.3139167111583503
After 194000 games - Mr.Q: 56.1%, Random: 43.9%, Draws: 0.0% , epsilon 0.31201731922339154
After 195000 games - Mr.Q: 53.5%, Random: 46.5%, Draws: 0.0% , epsilon 0.3101015093887982
